"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"377","Khiry Robinson","","","RB114","","","","271.0"
"378","Blaine Gabbert","KC","5","QB40","","","","286.5"
"379","Nate Washington","","","WR117","","","","287.5"
"380","Tarik Cohen","","","RB115","","","","274.0"
"381","Brandon Coleman","","","WR118","","","","278.0"
"382","Stevan Ridley","","","RB116","","","","280.0"
"383","Antonio Andrews","","","RB117","","","","281.0"
"384","Lance Kendricks","","","TE46","","","","325.5"
"385","T.J. Logan","","","RB118","","","","283.0"
"386","Seth Roberts","","","WR119","","","","285.0"
"387","Michael Vick","","","QB41","","","","286.0"
"388","Larry Donnell","","","TE47","","","","321.5"
"389","Dwayne Harris","","","WR120","","","","287.0"
"390","ArDarius Stewart","","","WR121","","","","287.0"
"391","Cordarrelle Patterson","PIT","8","RB119","","","","301.5"
"392","Dexter McCluster","","","RB120","","","","289.0"
"393","Taywan Taylor","","","WR122","","","","289.0"
"394","Travis Coons","","","K32","","","","317.3"
"395","Jon Baldwin","","","WR123","","","","290.0"
"396","Brent Celek","","","TE48","","","","302.5"
"397","Roddy White","","","WR124","","","","292.0"
"398","Justin Hardy","","","WR125","","","","293.0"
"399","Corey Grant","","","RB121","","","","293.0"
"400","Ryan Succop","","","K33","","","","301.7"
"401","Brian Hoyer","","","QB42","","","","329.5"
"402","De'Anthony Thomas","","","WR126","","","","295.0"
"403","D.J. Foster","","","RB122","","","","296.0"
"404","Cody Parkey","","","K34","","","","311.5"
"405","Matt Jones","","","WR127","","","","297.0"
"406","Damien Williams","","","RB123","","","","297.0"
"407","Reggie Diggs","","","WR128","","","","298.0"
"408","Mitchell Trubisky","BUF","10","QB43","","","","298.0"
"409","Eddie Royal","","","WR129","","","","299.0"
"410","Cody Kessler","","","QB44","","","","299.0"
"411","Chris Conley","SF","8","WR130","","","","300.0"
"412","Rashad Greene","","","WR131","","","","304.0"
"413","Bruce Ellington","","","WR132","","","","306.0"
"414","Devin Hester","","","WR133","","","","307.0"
"415","Case Keenum","HOU","9","QB45","","","","311.0"
"416","Nelson Spruce","","","WR134","","","","312.0"
"417","Jakeem Grant Sr.","CLE","13","WR135","","","","318.0"
"418","Josh McCown","","","QB46","","","","319.0"
"419","Aaron Burbridge","","","WR136","","","","320.0"
"420","Darius Jackson","","","RB124","","","","321.0"
"421","Leonte Carroo","","","WR137","","","","322.0"
"422","Brett Hundley","","","QB47","","","","323.0"
"423","Trevone Boykin","","","QB48","","","","324.0"
"424","Cardale Jones","","","QB49","","","","325.0"
"425","Dan Orlovsky","","","QB50","","","","326.0"
"426","Anthony Fasano","","","TE49","","","","328.0"
"427","Andrew Franks","","","K35","","","","329.0"
"428","Jeff Heuerman","","","TE50","","","","331.0"
"429","DeAndre Smelter","","","WR138","","","","332.0"
"430","Malcolm Brown","","","RB125","","","","333.0"
"431","Fozzy Whittaker","","","RB126","","","","334.0"
"432","Brice Butler","","","WR139","","","","336.0"
"433","Derek Anderson","","","QB51","","","","337.0"
"434","Ryan Nassib","","","QB52","","","","338.0"
"435","AJ McCarron","","","QB53","","","","339.0"
"436","Corey Brown","","","WR140","","","","340.0"
"437","Trent Richardson","","","RB127","","","","341.0"
"438","Matt McGloin","","","QB54","","","","342.0"
"439","Matt Schaub","","","QB55","","","","343.0"
"440","Andre Williams","","","RB128","","","","344.0"
"441","Marcel Reece","","","RB129","","","","345.0"
"442","Geno Smith","SEA","5","QB56","","","","346.0"
"443","Chad Henne","","","QB57","","","","349.0"
"444","Crockett Gillmore","","","TE51","","","","351.0"
"445","Colt McCoy","","","QB58","","","","352.0"
"446","Luke McCown","","","QB59","","","","353.0"
